automobile;car;3.92;0.123596
gem;jewel;3.84;0.307190
journey;voyage;3.84;0.219512
boy;lad;3.76;0.169591
coast;shore;3.70;0.190476
asylum;madhouse;3.61;0.030928
magician;wizard;3.50;0.169591
midday;noon;3.42;0.226994
furnace;stove;3.11;0.219512
food;fruit;3.08;0.010101
bird;cock;3.05;0.010101
bird;crane;2.97;0.005025
implement;tool;2.95;0.005025
brother;monk;2.82;0.020408
brother;lad;1.66;0.098901
crane;implement;1.68;0.000000
car;journey;1.16;0.020408
monk;oracle;1.10;0.036269
cemetery;woodland;0.95;0.015228
food;rooster;0.89;0.000000
coast;hill;0.87;0.010101
forest;graveyard;0.84;0.000000
shore;woodland;0.63;0.000000
monk;slave;0.55;0.005025
coast;forest;0.42;0.000000
lad;wizard;0.42;0.010101
cord;smile;0.13;0.000000
glass;magician;0.11;0.000000
rooster;voyage;0.08;0.000000
noon;string;0.08;0.000000
