Word_1,Word_2,Similarity by human judging,Datamuse
automobile,car,3.92,0.250148
gem,jewel,3.84,0.265158
journey,voyage,3.84,0.243762
boy,lad,3.76,0.224267
coast,shore,3.7,0.179027
asylum,madhouse,3.61,0.081925
magician,wizard,3.5,0.150526
midday,noon,3.42,0.28113
furnace,stove,3.11,0.141693
food,fruit,3.08,0.086207
bird,cock,3.05,0.020394
bird,crane,2.97,0.07414
implement,tool,2.95,0.091381
brother,monk,2.82,0.039643
brother,lad,1.66,0.047619
crane,implement,1.68,0.014029
car,journey,1.16,0.031988
monk,oracle,1.1,0.024374
cemetery,woodland,0.95,0.025035
food,rooster,0.89,0.011955
coast,hill,0.87,0.043788
forest,graveyard,0.84,0.04354
shore,woodland,0.63,0.042683
monk,slave,0.55,0.0371
coast,forest,0.42,0.041752
lad,wizard,0.42,0.01772
cord,smile,0.13,0.007317
glass,magician,0.11,0.00694
rooster,voyage,0.08,0.003823
noon,string,0.08,0.011905
