Word_1,Word_2,Similarity by human judging,Datamuse
cord,smile,0.02  ,0.000000
rooster,voyage,0.04 ,0.000000
noon,string,0.04  ,0.000000
fruit,furnace,0.05  ,0.000000
autograph,shore,0.06  ,0.000000
automobile,wizard,0.11  ,0.000000
mound,stove,0.14,0.000000
grin,implement,0.18,0.000000
asylum,fruit,0.19,0.000000
asylum,monk,0.39,0.000000
graveyard,madhouse,0.42,0.010101
glass,magician,0.44,0.000000
boy,rooster,0.44,0.015228
cushion,jewel,0.45,0.000000
monk,slave,0.57,0.005025
asylum,cemetery,0.79,0.000000
coast,forest,0.85,0.000000
grin,lad,0.88,0.000000
shore,woodland,0.90,0.000000
monk,oracle,0.91,0.036269
boy,sage,0.96,0.000000
automobile,cushion,0.97,0.000000
mound,shore,0.97,0.000000
lad,wizard,0.99,0.010101
forest,graveyard,1.00,0.000000
food,rooster,1.09,0.000000
cemetery,woodland,1.18,0.015228
shore,voyage,1.22,0.000000
bird,woodland,1.24,0.000000
coast,hill,1.26,0.010101
furnace,implement,1.37,0.000000
crane,rooster,1.41,0.000000
hill,woodland,1.48,0.005025
car,journey,1.55,0.020408
cemetery,mound,1.69,0.015228
glass,jewel,1.78,0.005025
magician,oracle,1.82,0.030928
crane,implement,2.37,0.000000
brother,lad,2.41,0.098901
sage,wizard,2.46,0.015228
oracle,sage,2.61,0.030928
bird,crane,2.63,0.005025
bird,cock,2.63,0.010101
food,fruit,2.69,0.010101
brother,monk,2.74,0.020408
asylum,madhouse,3.04,0.030928
furnace,stove,3.11,0.219512
magician,wizard,3.21,0.169591
hill,mound,3.29,0.015228
cord,string,3.41,0.086957
glass,tumbler,3.45,0.058201
grin,smile,3.46,0.351351
serf,slave,3.46,0.081081
journey,voyage,3.58,0.219512
autograph,signature,3.59,0.025641
coast,shore,3.60,0.190476
forest,woodland,3.65,0.197605
implement,tool,3.66,0.005025
cock,rooster,3.68,0.015228
boy,lad,3.82,0.169591
cushion,pillow,3.84,0.136364
cemetery,graveyard,3.88,0.333333
automobile,car,3.92,0.123596
midday,noon,3.94,0.226994
gem,jewel,3.94,0.307190
