Using Datamuse methods
w1; w2; human_sim; method_sim

automobile;car;3.92;0.250148
gem;jewel;3.84;0.265158
journey;voyage;3.84;0.243762
boy;lad;3.76;0.224267
coast;shore;3.70;0.179027
asylum;madhouse;3.61;0.081925
magician;wizard;3.50;0.150526
midday;noon;3.42;0.281130
furnace;stove;3.11;0.141693
food;fruit;3.08;0.086207
bird;cock;3.05;0.020394
bird;crane;2.97;0.074140
implement;tool;2.95;0.091381
brother;monk;2.82;0.039643
brother;lad;1.66;0.047619
crane;implement;1.68;0.014029
car;journey;1.16;0.031988
monk;oracle;1.10;0.024374
cemetery;woodland;0.95;0.025035
food;rooster;0.89;0.011955
coast;hill;0.87;0.043788
forest;graveyard;0.84;0.043540
shore;woodland;0.63;0.042683
monk;slave;0.55;0.037100
coast;forest;0.42;0.041752
lad;wizard;0.42;0.017720
cord;smile;0.13;0.007317
glass;magician;0.11;0.006940
rooster;voyage;0.08;0.003823
noon;string;0.08;0.011905


Using Datamuse methods
w1; w2; human_sim; method_sim

cord;smile;0.02  ;0.007317
rooster;voyage;0.04 ;0.003823
noon;string;0.04  ;0.011905
fruit;furnace;0.05  ;0.010246
autograph;shore;0.06  ;0.005140
automobile;wizard;0.11  ;0.006277
mound;stove;0.14;0.035314
grin;implement;0.18;0.003083
asylum;fruit;0.19;0.001246
asylum;monk;0.39;0.011453
graveyard;madhouse;0.42;0.018813
glass;magician;0.44;0.006940
boy;rooster;0.44;0.031002
cushion;jewel;0.45;0.024902
monk;slave;0.57;0.037100
asylum;cemetery;0.79;0.028070
coast;forest;0.85;0.041752
grin;lad;0.88;0.052201
shore;woodland;0.90;0.042683
monk;oracle;0.91;0.024374
boy;sage;0.96;0.019220
automobile;cushion;0.97;0.020364
mound;shore;0.97;0.048430
lad;wizard;0.99;0.017720
forest;graveyard;1.00;0.043540
food;rooster;1.09;0.011955
cemetery;woodland;1.18;0.025035
shore;voyage;1.22;0.055952
bird;woodland;1.24;0.014278
